row_id,recode_value,recoder_comment
0,direct,USSS seizure banner names DOJ/Maryland warrant; primary_legal source.
1,direct,Same-day on-chain freeze tx on SDN address; Tether stated OFAC-compliance policy.
2,direct,Tether USDT-TRC20 batch freeze same day on listed TRX SDN address.
3,direct,On-chain Circle blacklist tx targets listed SDN address within 27h.
4,plausible,Wahrstatter measurement; no relay operator names Tornado as filter cause.
5,direct,Commit subject literally says "update ofac black list" naming SDN addresses.
6,direct,Circle blog explicitly titled "OFAC's Designation of Tornado Cash" plus on-chain tx.
7,plausible,GitHub archival snapshots; no statement naming OFAC as cause.
8,direct,dYdX blog post explicitly ties account blocks to Tornado Cash sanctions exposure.
9,direct,Circle batch-blacklisted all 8 listed SDN ETH addresses within 24h via on-chain tx.
10,plausible,Tether broader retroactive sweep 4 months later; no Semenov-specific naming.
11,direct,CBRT regulation text itself prohibits payment providers from crypto handling.
12,plausible,Operator-driven teardown to nginx default; no OFAC-naming statement.
13,direct,DOJ press release names same-day BKA infrastructure seizure operation.
14,direct,Tether's batch action is itself the corporate trigger; on-chain tx anchors freeze.
15,direct,RBI circular text mandates the banking cut-off explicitly.
16,direct,FSC primary legal source mandates Travel Rule across all KR VASPs.
17,direct,Uniswap Labs official blog announcement names the token-list restriction.
18,direct,Tether smart-contract addToBlackList call is itself the corporate trigger action.
19,direct,CBN circular letter text explicitly mandates banking cut-off for crypto.
