id,stratum,jurisdiction,trigger_type,sample_reason,coder_a_tier_ok,coder_a_section9_clear,coder_a_single_source_ok,coder_b_tier_ok,coder_b_section9_clear,coder_b_single_source_ok,notes
cambodia-nbc-joint-crypto-prohibition-2018-05,S4,KH,nation_state_block,flagged-national-ban,,,,,,,
china-pboc-banks-alipay-payment-channel-block-2021-06,S4,CN,nation_state_block,payment-rail-restriction,,,,,,,
china-search-engine-social-keyword-exchange-block-2021-06,S4,CN,nation_state_block,search-social-frontend-restriction,,,,,,,
egypt-cbe-banking-law-194-2020,S4,EG,nation_state_block,legal-text-ban-boundary,,,,,,,
korea-fiu-isms-real-name-exchange-shutdown-2021-09,S4,KR,regulatory_enforcement,regulator-exchange-shutdown,,,,,,,
korea-fsc-privacy-coin-delisting-mandate-2021-03,S4,KR,regulatory_enforcement,privacy-coin-mandate,,,,,,,
morocco-office-des-changes-crypto-ban-2017-11,S4,MA,regulatory_enforcement,flagged-national-ban,,,,,,,
taiwan-fsc-bitcoin-bank-atm-ban-2014-01,S4,TW,nation_state_block,early-bank-atm-restriction,,,,,,,
vietnam-sbv-payment-prohibition-2017-10,S4,VN,regulatory_enforcement,official-payment-prohibition,,,,,,,
binance-com-us-customer-geofence-2019-06,S5,US,corporate_policy_change,major-exchange-geofence,,,,,,,
binance-eea-usdt-spot-delisting-2025-03,S5,EU,corporate_policy_change,mica-stablecoin-delisting,,,,,,,
bybit-canada-exit-2023-05,S5,CA,corporate_policy_change,market-exit,,,,,,,
crypto-com-eu-usdt-stablecoin-delisting-2025-01,S5,EU,corporate_policy_change,stablecoin-delisting,,,,,,,
okx-canada-exit-2023,S5,CA,corporate_policy_change,market-exit,,,,,,,
orca-dex-us-frontend-block-2023-03,S5,US,corporate_policy_change,frontend-geofence,,,,,,,
