row_id,event_id,layer,original_value
0,garantex-besciokov-mira-serda-doj-2025,l4_frontend,direct
1,garantex-besciokov-mira-serda-doj-2025,offramp_cex,direct
2,dydx-tornado-account-block-2022-08,l4_frontend,direct
3,dydx-tornado-account-block-2022-08,offramp_cex,direct
4,tornado-cash-ofac-2022,l1_consensus,plausible
5,tornado-cash-ofac-2022,l3_rpc,direct
6,tornado-cash-ofac-2022,asset_onchain,direct
7,tornado-cash-ofac-2022,l4_frontend,plausible
8,tornado-cash-ofac-2022,offramp_cex,direct
9,cryptex-ofac-2024,l4_frontend,direct
10,cryptex-ofac-2024,asset_onchain,direct
11,cryptex-ofac-2024,asset_onchain,direct
12,cryptex-ofac-2024,asset_onchain,direct
13,samourai-doj-2024,l4_frontend,direct
14,argentina-bcra-banks-crypto-services-ban-2022-05,offramp_cex,plausible
15,ofac-hamas-buy-cash-msb-2023-10,offramp_cex,direct
16,sec-kik-interactive-kin-unregistered-offering-2020-10,offramp_cex,direct
17,hydra-ofac-2022,l4_frontend,direct
18,canada-convoy-freeze-2022,offramp_cex,direct
19,aeza-group-ofac-2025,asset_onchain,direct
20,taiwan-fsc-bitcoin-bank-atm-ban-2014-01,offramp_cex,direct
21,sec-abra-plutus-earn-cease-2024-08,offramp_cex,direct
22,nepal-nrb-bitcoin-ban-2017-08,offramp_cex,direct
23,nepal-nrb-comprehensive-crypto-ban-2021-09,offramp_cex,plausible
24,sec-v-coinbase-2023,offramp_cex,plausible
25,okx-privacy-token-delist-2024,offramp_cex,direct
26,etherscan-tornado-cash-ui-label-2022,l4_frontend,direct
27,australia-asic-binance-derivatives-2023,offramp_cex,direct
28,bybit-canada-exit-2023-05,offramp_cex,direct
29,hongkong-sfc-vatp-licensing-2023-06,offramp_cex,direct
30,hongkong-sfc-vatp-licensing-2023-06,offramp_cex,plausible
31,wikileaks-everydns-domain-termination-2010-12,l4_frontend,plausible
32,singapore-mas-retail-crypto-restriction-2022,l4_frontend,direct
33,singapore-mas-retail-crypto-restriction-2022,offramp_cex,plausible
34,tradehill-dwolla-payment-cutoff-2012-02,offramp_cex,direct
35,gemini-netherlands-exit-2023-11,offramp_cex,direct
36,eu-8th-package-russia-crypto-services-ban-2022-10,offramp_cex,direct
37,bybit-singapore-exit-2022,offramp_cex,plausible
38,dydx-canada-frontend-wind-down-2023-04,l4_frontend,direct
39,sec-v-telegram-ton-2020,offramp_cex,direct
40,tether-pig-butchering-second-wave-2024,offramp_cex,plausible
41,tether-retroactive-sweep-2023,asset_onchain,direct
42,tether-doj-pig-butchering-freeze-2023,asset_onchain,direct
43,tether-doj-pig-butchering-freeze-2023,offramp_cex,direct
44,belgium-fsma-binance-cease-2023,offramp_cex,direct
45,israel-nbctf-hamas-crypto-addresses-2021,offramp_cex,plausible
46,russian-cyber-theft-ofac-2020,asset_onchain,direct
47,blockfi-sec-lending-2022,offramp_cex,direct
48,coinbase-irs-john-doe-summons-2016,offramp_cex,direct
49,sec-consensys-metamask-staking-swaps-2024-06,l4_frontend,direct
50,google-play-india-crypto-exchange-removal-2024-01,l4_frontend,plausible
51,bcbs-cryptoasset-prudential-standard-sco60-2022,offramp_cex,plausible
52,pump-fun-uk-fca-geofence-2024-12,l4_frontend,plausible
53,egypt-cbe-banking-law-194-2020,offramp_cex,direct
54,upbit-privacy-coin-delisting-2019-09,offramp_cex,plausible
55,eu-12th-russia-sanctions-2023,offramp_cex,direct
56,eu-russia-crypto-wallet-cap-2022,offramp_cex,direct
57,etoro-us-ada-trx-delisting-2021-12,offramp_cex,direct
58,chatex-ofac-2021,asset_onchain,direct
59,chatex-ofac-2021,l4_frontend,direct
60,morocco-office-des-changes-crypto-ban-2017-11,offramp_cex,plausible
61,sec-nexo-earn-lending-product-cease-2023-01,offramp_cex,direct
62,fincen-eric-powers-p2p-exchanger-2019-04,offramp_cex,direct
63,paxos-busd-nydfs-minting-stop-2023,l4_frontend,plausible
64,thailand-sec-meme-fan-nft-exchange-token-ban-2021-06,offramp_cex,direct
65,russia-election-interference-ofac-2020,asset_onchain,direct
66,grinex-garantex-successor-ofac-2025,asset_onchain,direct
67,indonesia-kominfo-exchange-social-account-block-2024-07,l4_frontend,plausible
68,liberty-reserve-costa-rica-license-denial-2011-03,offramp_cex,direct
69,singapore-mas-binance-services-2021,l4_frontend,direct
70,singapore-mas-binance-services-2021,offramp_cex,direct
71,tornado-cash-ofac-redesignation-2022,asset_onchain,direct
72,ripple-fincen-xrp-2015,offramp_cex,direct
73,pecunix-bullion-transfer-2008,offramp_cex,plausible
74,kazakhstan-digital-assets-law-2023-02,l1_consensus,plausible
75,kazakhstan-digital-assets-law-2023-02,offramp_cex,plausible
76,blender-ofac-2022,l4_frontend,plausible
77,binance-russia-gunmaker-asset-freeze-ukraine-2022-08,offramp_cex,plausible
78,canada-csa-binance-withdrawal-2023,offramp_cex,plausible
79,eu-18th-russia-sanctions-casp-spfs-2025,offramp_cex,direct
80,china-pboc-crypto-ban-2021,offramp_cex,direct
81,china-pboc-crypto-ban-2021,offramp_cex,direct
82,sec-v-ripple-2020,offramp_cex,direct
83,sec-v-ripple-2020,offramp_cex,direct
