event_id,event_status,source_yaml,coverage_index,layer,screen_rules,legacy_note,trigger_sources,verdict
1mdc-egold-account-freeze-2007-04,admitted,events/1mdc-egold-account-freeze-2007-04.yaml,4,asset_onchain,"[""missing_capture_or_anchor""]","1mdc units were off-ledger e-gold-backed entries on the centralized e-gold ledger, not a blockchain token; there is no on-chain tx_hash for the freeze, so per codebook §1.6 the freeze effect is carried at offramp_cex rather than asset_onchain.","[{""body_hash"": ""sha256:61540013bbabcf9330f52f862e9b625f96a821af3ffd882c40631ee17815dd50"", ""body_path"": ""sources/http_captures/1mdc-egold-account-freeze-2007-04/primary/web.archive.org__web-20210401004405-https-www.justice.gov-archive-criminal-cybercrime-press-releases-2007-egoldIndict.htm__9c96372596.html"", ""url"": ""https://www.justice.gov/archive/criminal/cybercrime/press-releases/2007/egoldIndict.htm"", ""wayback"": ""https://web.archive.org/web/20210401004405/https://www.justice.gov/archive/criminal/cybercrime/press-releases/2007/egoldIndict.htm""}, {""body_hash"": ""sha256:688c3732c0bfff067b7f2cfd6ae537748d47fa42a4880c6d9bd31e9847cf7fca"", ""body_path"": ""sources/http_captures/1mdc-egold-account-freeze-2007-04/primary/web.archive.org__web-20251129000000-https-en.wikipedia.org-wiki-1mdc__7048e5fe3c.html"", ""url"": ""https://en.wikipedia.org/wiki/1mdc"", ""wayback"": ""https://web.archive.org/web/20251129151946/https://en.wikipedia.org/wiki/1mdc""}]",unadjudicated_risk_flag
aave-tornado-frontend-block-2022-08,admitted,events/aave-tornado-frontend-block-2022-08.yaml,1,l1_consensus,"[""missing_capture_or_anchor""]","Pre-Merge Ethereum (Paris was 2022-09-15, 33 days after this event); PBS relay-censorship infrastructure did not exist yet. Consensus-layer effects of the 2022-08-08 OFAC trigger are captured under tornado-cash-ofac-2022 observations[l1].","[{""url"": ""https://twitter.com/AaveAave/status/1558414985380536321"", ""wayback"": ""https://web.archive.org/web/2022/https://twitter.com/AaveAave/status/1558414985380536321""}, {""url"": ""https://blockworks.co/news/defi-web-apps-block-users-hit-by-tornado-cash-dust-attack"", ""wayback"": ""https://web.archive.org/web/2022/https://blockworks.co/news/defi-web-apps-block-users-hit-by-tornado-cash-dust-attack""}, {""url"": ""https://cryptoslate.com/aave-confirms-trm-labs-api-blocked-dusted-ethereum-wallets-access-restored/"", ""wayback"": ""https://web.archive.org/web/2022/https://cryptoslate.com/aave-confirms-trm-labs-api-blocked-dusted-ethereum-wallets-access-restored/""}, {""url"": ""https://decrypt.co/107890/meet-the-sleuthing-firm-helping-defi-projects-stay-compliant-with-tornado-cash-sanctions"", ""wayback"": ""https://web.archive.org/web/2022/https://decrypt.co/107890/meet-the-sleuthing-firm-helping-defi-projects-stay-compliant-with-tornado-cash-sanctions""}]",unadjudicated_risk_flag
al-law-hezbollah-crypto-ofac-2024-03,admitted,events/al-law-hezbollah-crypto-ofac-2024-03.yaml,4,asset_onchain,"[""missing_capture_or_anchor"", ""absence_of_observed_action""]","Al-Law's SDN entry names one USDT-on-Tron address. Per codebook §1.6, this event makes no on-chain claim absent a captured primary_onchain freeze tx_hash; the measurable surface is carried at offramp_cex. (A future Tether-on-Tron freeze confirmation against the named address could upgrade to an asset_onchain observed_change under §1.2; not pinned at draft time.)","[{""body_hash"": ""sha256:604a162d4136ca4ec092e06ebcc6d950e844db40c4451096febb3b5035764ba5"", ""body_path"": ""sources/http_captures/al-law-hezbollah-crypto-ofac-2024-03/primary/web.archive.org__web-20240326000000-https-home.treasury.gov-news-press-releases-jy2209__314cf7a7bf.html"", ""url"": ""https://home.treasury.gov/news/press-releases/jy2209"", ""wayback"": ""https://web.archive.org/web/20240326154347/https://home.treasury.gov/news/press-releases/jy2209""}, {""body_hash"": ""sha256:0908e9a28cbb264de13f22a0e57a6b2d8e0eb1ae906e7669dcef96747abcb15e"", ""body_path"": ""sources/http_captures/al-law-hezbollah-crypto-ofac-2024-03/primary/web.archive.org__web-20240326000000-https-ofac.treasury.gov-recent-actions-20240326__cf3fe7dad6.html"", ""url"": ""https://ofac.treasury.gov/recent-actions/20240326"", ""wayback"": ""https://web.archive.org/web/20240326151735/https://ofac.treasury.gov/recent-actions/20240326""}]",unadjudicated_risk_flag
bcbs-cryptoasset-prudential-standard-sco60-2022,admitted,events/bcbs-cryptoasset-prudential-standard-sco60-2022.yaml,4,asset_onchain,"[""missing_capture_or_anchor""]",The standard penalises bank EXPOSURE to a defined cryptoasset class via capital charges; it does not itself freeze specific on-chain assets/addresses (no enumerated addresses; no issuer freeze tx).,"[{""body_hash"": ""sha256:9acfcc4667ea2c1eaa4aa10433f9b3bf686ec6dd3ca4c50b182a94d9a0bda09b"", ""body_path"": ""sources/http_captures/bcbs-cryptoasset-prudential-standard-sco60-2022/primary/web.archive.org__web-20221216235557id_-https-www.bis.org-bcbs-publ-d545.pdf__008d2f6e87.bin"", ""url"": ""https://www.bis.org/bcbs/publ/d545.pdf"", ""wayback"": ""https://web.archive.org/web/20221216235557id_/https://www.bis.org/bcbs/publ/d545.pdf""}, {""body_hash"": ""sha256:fb7a445e01395325401976ed8932c8383e7199694ef9490a47347716c89f8815"", ""body_path"": ""sources/http_captures/bcbs-cryptoasset-prudential-standard-sco60-2022/primary/web.archive.org__web-20260210113309-https-www.bis.org-press-p221216.htm__fa704df9ff.html"", ""url"": ""https://www.bis.org/press/p221216.htm"", ""wayback"": ""https://web.archive.org/web/20260210113309/https://www.bis.org/press/p221216.htm""}]",unadjudicated_risk_flag
binance-busd-wind-down-2024,admitted,events/binance-busd-wind-down-2024.yaml,3,l4_frontend,"[""missing_capture_or_anchor""]","The Binance customer-support announcement is the public-policy anchor for the wind-down, not a separable frontend-restriction observation distinct from the off-ramp catalogue change. Frontend visibility of BUSD pairs on binance.com collapses in lockstep with the off-ramp action; no independent L4 surface is pinned here. Treated symmetrically with the L4 handling in binance-privacy-coin-delisting-2023 and okx-privacy-token-delist-2024.","[{""url"": ""https://www.binance.com/en/support/announcement/notice-regarding-the-removal-of-busd-and-conversion-of-busd-to-fdusd-1c98ce7bb464422dbbaeda7066ae445b"", ""wayback"": ""https://web.archive.org/web/20240222000000/https://www.binance.com/en/support/announcement/notice-regarding-the-removal-of-busd-and-conversion-of-busd-to-fdusd-1c98ce7bb464422dbbaeda7066ae445b""}, {""url"": ""https://www.binance.com/en/support/announcement/binance-encourages-users-to-convert-busd-to-other-stablecoins-prior-to-february-2024-d392843e81fd4bc3a5f7e219aa01f34d"", ""wayback"": ""https://web.archive.org/web/2023/https://www.binance.com/en/support/announcement/binance-encourages-users-to-convert-busd-to-other-stablecoins-prior-to-february-2024-d392843e81fd4bc3a5f7e219aa01f34d""}]",unadjudicated_risk_flag
binance-busd-wind-down-2024,admitted,events/binance-busd-wind-down-2024.yaml,4,asset_onchain,"[""missing_capture_or_anchor""]",BUSD supply-decline lifecycle (Etherscan contract history) is real but no pinnable primary_onchain tx_hash (a specific decreaseSupply burn) was anchored at audit time; per audit precedent the asset_onchain layer is set not_applicable and the censorship effect is carried at offramp_cex (Binance BUSD product removal). The BUSD contract 0x4Fabb145... remains documented in the notes.,"[{""url"": ""https://www.binance.com/en/support/announcement/notice-regarding-the-removal-of-busd-and-conversion-of-busd-to-fdusd-1c98ce7bb464422dbbaeda7066ae445b"", ""wayback"": ""https://web.archive.org/web/20240222000000/https://www.binance.com/en/support/announcement/notice-regarding-the-removal-of-busd-and-conversion-of-busd-to-fdusd-1c98ce7bb464422dbbaeda7066ae445b""}, {""url"": ""https://www.binance.com/en/support/announcement/binance-encourages-users-to-convert-busd-to-other-stablecoins-prior-to-february-2024-d392843e81fd4bc3a5f7e219aa01f34d"", ""wayback"": ""https://web.archive.org/web/2023/https://www.binance.com/en/support/announcement/binance-encourages-users-to-convert-busd-to-other-stablecoins-prior-to-february-2024-d392843e81fd4bc3a5f7e219aa01f34d""}]",unadjudicated_risk_flag
binance-cftc-2023,admitted,events/binance-cftc-2023.yaml,0,l0_network,"[""absence_of_observed_action""]","No network-layer (DNS / ISP) blocking observed at the CFTC complaint stage. The complaint operates on commodities-law + BSA-AML axes at the exchange-registration / off-ramp layer, not substrate-level filtering of binance.com.","[{""url"": ""https://www.cftc.gov/PressRoom/PressReleases/8680-23"", ""wayback"": ""https://web.archive.org/web/20260516000000/https://www.cftc.gov/PressRoom/PressReleases/8680-23""}]",unadjudicated_risk_flag
binance-com-us-customer-geofence-2019-06,admitted,events/binance-com-us-customer-geofence-2019-06.yaml,3,l4_frontend,"[""missing_capture_or_anchor""]",The ToS bar and U.S.-IP geofencing/redirect to Binance.US is an access/off-ramp restriction on the trading product; not pinned as a separable frontend-block observation here.,"[{""body_hash"": ""sha256:567ddd89e8f29dd0f8fb5b8190a080258bf0013dca0b944c9f3d9ea4a5b07224"", ""body_path"": ""sources/http_captures/binance-com-us-customer-geofence-2019-06/official_support_360029196512/web.archive.org__web-20190614175800-https-www.binance.com-en-support-articles-360029196512__93d106315f.html"", ""url"": ""https://www.binance.com/en/support/articles/360029196512"", ""wayback"": ""https://web.archive.org/web/20190614192737/https://www.binance.com/en/support/articles/360029196512""}, {""body_hash"": ""sha256:cefd1bd90cacd52f998442695dfb474dc8f6cc2230a49e277b4faae81fc17a98"", ""body_path"": ""sources/http_captures/binance-com-us-customer-geofence-2019-06/official_terms/web.archive.org__web-20190614104622-https-www.binance.com-agreement.html__3fbaa8673a.html"", ""url"": ""https://www.binance.com/agreement.html"", ""wayback"": ""https://web.archive.org/web/20190614175800/https://www.binance.com/agreement.html""}, {""body_hash"": ""sha256:3dee385b4d89d4fa787fb9a1f61fabe73c67393dc1a1a446b187fe75e0a322ea"", ""body_path"": ""sources/http_captures/binance-com-us-customer-geofence-2019-06/primary/web.archive.org__web-20210921042151-https-www.coindesk.com-markets-2019-06-14-crypto-exchange-binancecom-to-block-us-customers-from-trading__accd4baaa0.html"", ""url"": ""https://www.coindesk.com/markets/2019/06/14/crypto-exchange-binancecom-to-block-us-customers-from-trading/"", ""wayback"": ""https://web.archive.org/web/20210921042151/https://www.coindesk.com/markets/2019/06/14/crypto-exchange-binancecom-to-block-us-customers-from-trading/""}]",unadjudicated_risk_flag
binance-hamas-account-freeze-israel-2023-10,admitted,events/binance-hamas-account-freeze-israel-2023-10.yaml,4,asset_onchain,"[""missing_capture_or_anchor""]","The freeze acts on custodial Binance accounts (off-ramp custody), not via an on-chain issuer blacklist; no §1.6 asset_onchain tx_hash floor applies.","[{""body_hash"": ""sha256:088d77dc114cd382054e9d91000977b41621db57a843311a5f516e1ed87d3705"", ""body_path"": ""sources/http_captures/binance-hamas-account-freeze-israel-2023-10/primary/web.archive.org__web-20260117195331-https-www.dlnews.com-articles-regulation-israeli-police-seize-binance-account-linked-to-hamas__c80d6b79b1.html"", ""url"": ""https://www.dlnews.com/articles/regulation/israeli-police-seize-binance-account-linked-to-hamas/"", ""wayback"": ""https://web.archive.org/web/20260117195331/https://www.dlnews.com/articles/regulation/israeli-police-seize-binance-account-linked-to-hamas/""}]",unadjudicated_risk_flag
binance-netherlands-exit-2023-07,admitted,events/binance-netherlands-exit-2023-07.yaml,4,asset_onchain,"[""missing_capture_or_anchor""]",No on-chain token freeze; a centralized exchange exiting a national market. No §1.6 asset_onchain tx_hash floor applies.,"[{""body_hash"": ""sha256:01617926483c08666d267f9f54ab30377ca18fec9f517fcc86f5360bd413631b"", ""body_path"": ""sources/http_captures/binance-netherlands-exit-2023-07/official-binance-wayback/web.archive.org__web-20230616171924-https-www.binance.com-en-support-announcement-notice-on-changes-of-services-in-the-netherlands-b5a647be31cf469b87fc3337fd461ced__517a24b988.html"", ""url"": ""https://www.binance.com/en/support/announcement/notice-on-changes-of-services-in-the-netherlands-b5a647be31cf469b87fc3337fd461ced"", ""wayback"": ""https://web.archive.org/web/20230616171924/https://www.binance.com/en/support/announcement/notice-on-changes-of-services-in-the-netherlands-b5a647be31cf469b87fc3337fd461ced""}, {""body_hash"": ""sha256:f409e0479abad2aeabc1ee9beb7596da07c4276a2dcdb945eb39b2fbaf8b8180"", ""body_path"": ""sources/http_captures/binance-netherlands-exit-2023-07/primary/web.archive.org__web-20251212094859-https-decrypt.co-144920-binance-to-leave-netherlands-after-failing-to-acquire-vasp-license__2fe0a699ed.html"", ""url"": ""https://decrypt.co/144920/binance-to-leave-netherlands-after-failing-to-acquire-vasp-license"", ""wayback"": ""https://web.archive.org/web/20251212094859/https://decrypt.co/144920/binance-to-leave-netherlands-after-failing-to-acquire-vasp-license""}]",unadjudicated_risk_flag
