row_id,recode_value,recoder_comment
0,direct,"Seizure banner verbatim names USSS, District of Maryland warrant, DOJ CCIPS, Operation Endgame — explicit legal-instrument naming."
1,direct,"Tether's publicly-stated policy to freeze OFAC-listed balances; same-day freeze of the SDN address."
2,direct,"Same Tether USDT-TRC20 batch action on SDN-listed TRX address; cross-chain operator action under OFAC policy."
3,plausible,"Circle freeze 27h post-OFAC on SDN address but no explicit Circle statement naming Cryptex/OFAC for this event."
4,plausible,"Source note explicitly states no relay-operator statement names Tornado Cash as reason for filter adoption."
5,direct,"Flashbots commit subject literally 'update ofac black list'; 'ofac' appears four times in commit message."
6,direct,"Circle primary_corporate blog 'OFAC's designation of Tornado Cash protocols' explicitly names trigger."
7,plausible,"GitHub repo availability change; no first-party Tornado operator statement linking takedown to OFAC trigger."
8,direct,"dYdX blog 'tornado-outage' explicitly names Tornado Cash sanctions exposure as reason for account blocks."
9,plausible,"Circle batch freeze 24h after OFAC; sources show on-chain receipts only, no explicit Circle statement naming Semenov."
10,plausible,"Tether retroactive sweep 108 days later; corporate batch action, not explicit response to Semenov designation."
11,direct,"CBRT Regulation text itself prohibits payment-service providers from crypto transactions — legal instrument is the mandate."
12,plausible,"Operator-driven nginx teardown; note explicitly states 'OFAC did not require this action — voluntary response.'"
13,direct,"DOJ press release explicitly names BKA-led seizure of Hydra servers under coordinated DOJ/FBI/IRS-CI operation."
14,direct,"Trigger is Tether's own batch freeze action; on-chain addBlackList tx is the action itself."
15,direct,"RBI circular text mandates banking-service severance with 3-month compliance deadline; legal instrument is the action."
16,direct,"FSC press release mandates Travel Rule for all KR VASPs effective 2022-03-25; rule itself is the mandate."
17,direct,"Uniswap Labs blog directly announces 100+ token frontend restrictions; corporate operator statement is explicit."
18,direct,"Trigger is Tether's own batch freeze; addBlackList smart-contract call is the action itself."
19,direct,"CBN circular text directly mandates Nigerian banks close crypto-entity accounts; legal instrument is the action."
