row_id,event_id,layer,coverage_note,event_notes,recode_value,recoder_comment
0,cryptex-ofac-2024,l0_network,L0 network-layer OONI API query performed 2026-04-22. Searched the public OONI Explorer API (api.ooni.io/api/v1/measurements) for test_name=web_connectivity across the following do,comparison documenting the 2024-09-26 coordinated action against the Russian virtual-currency exchange Cryptex (OFAC SDN designation) and co-occurring US Secret Service seizure of ,not_measured,
1,cryptex-ofac-2024,l1_consensus,"Wahrstätter relay_censorship_share.csv covers 2024-09-26 at daily granularity. Slice [2024-09-12, 2024-10-10]: pre-event 14d mean 55.76% ± 1.76, event-day 53.95%, post-event 14d me",comparison documenting the 2024-09-26 coordinated action against the Russian virtual-currency exchange Cryptex (OFAC SDN designation) and co-occurring US Secret Service seizure of ,measured,
2,cryptex-ofac-2024,l3_rpc,"No pinned MEV-Blocker / OFAC-compliant RPC filter-list snapshot, provider docs/status change, or replayable rejection bracketing 2024-09-26 is attached. Public RPC substrate snapsh",comparison documenting the 2024-09-26 coordinated action against the Russian virtual-currency exchange Cryptex (OFAC SDN designation) and co-occurring US Secret Service seizure of ,not_measured,
3,cryptex-ofac-2024,l4_frontend,Canonical cryptex.net domain was seized by US Secret Service on event day 2024-09-26 at ≈16:05 UTC. Wayback CDX shows 403 Forbidden on the HTTPS origin at 16:05 event day (multiple,comparison documenting the 2024-09-26 coordinated action against the Russian virtual-currency exchange Cryptex (OFAC SDN designation) and co-occurring US Secret Service seizure of ,measured,
4,cryptex-ofac-2024,asset_onchain,Cryptex ETH address 0x0931cA4D13BB4ba75D9B7132AB690265D749a5E7 blacklisted by both USDT (Tether) and USDC (Circle) per usdtbanlist.com community tracker: - Tether USDT blacklist on,comparison documenting the 2024-09-26 coordinated action against the Russian virtual-currency exchange Cryptex (OFAC SDN designation) and co-occurring US Secret Service seizure of ,measured,
5,cryptex-ofac-2024,offramp_cex,"Chain-analytics anchors pinned 2026-04-22 as primary_corporate substrate for per-event offramp_cex reasoning (Chainalysis, TRM, Elliptic sanctions-coverage resource pages):   Chain",comparison documenting the 2024-09-26 coordinated action against the Russian virtual-currency exchange Cryptex (OFAC SDN designation) and co-occurring US Secret Service seizure of ,not_measured,
6,tornado-cash-ofac-2022,l0_network,L0 network-layer OONI API query performed 2026-04-22. Searched the public OONI Explorer API (api.ooni.io/api/v1/measurements) for test_name=web_connectivity across the following do,"Admitted as a scoped case anchored in concrete legal, on-chain, GitHub, and dYdX artifacts. The supported public claim is a three-layer cascade across asset, frontend, and off-ramp",not_measured,
7,tornado-cash-ofac-2022,l1_consensus,FIXES Phase 3.4 executed on 2026-04-21. Wahrstätter's relay_censorship_share.csv is attached with body_hash; the slice 2022-09-16 to 2022-10-03 (the earliest-measurable 18 days of ,"Admitted as a scoped case anchored in concrete legal, on-chain, GitHub, and dYdX artifacts. The supported public claim is a three-layer cascade across asset, frontend, and off-ramp",partially_measured,
8,tornado-cash-ofac-2022,l3_rpc,Revised 2026-04-24. Previous `not_applicable` framing was built on the assumption that OFAC-compliance-adjacent public Ethereum RPC substrate post-dated the event (Flashbots Protec,"Admitted as a scoped case anchored in concrete legal, on-chain, GitHub, and dYdX artifacts. The supported public claim is a three-layer cascade across asset, frontend, and off-ramp",partially_measured,
9,tornado-cash-ofac-2022,l4_frontend,,"Admitted as a scoped case anchored in concrete legal, on-chain, GitHub, and dYdX artifacts. The supported public claim is a three-layer cascade across asset, frontend, and off-ramp",measured,
10,tornado-cash-ofac-2022,asset_onchain,,"Admitted as a scoped case anchored in concrete legal, on-chain, GitHub, and dYdX artifacts. The supported public claim is a three-layer cascade across asset, frontend, and off-ramp",measured,
11,tornado-cash-ofac-2022,offramp_cex,Withdrawal-status visibility is incomplete across venues,"Admitted as a scoped case anchored in concrete legal, on-chain, GitHub, and dYdX artifacts. The supported public claim is a three-layer cascade across asset, frontend, and off-ramp",partially_measured,
