event_id,event_status,source_yaml,observation_index,layer,observation_kind,legacy_claim,matches,trigger_sources,observation_sources,verdict
1inch-us-geofence-2021-09,admitted,events/1inch-us-geofence-2021-09.yaml,0,l4_frontend,observed_change,1inch_network_geofenced_us_vantage_users_from_app_1inch_io,"[{""matching_fields"": [""url""], ""observation_source_index"": 0, ""trigger_source_index"": 1}]","[{""url"": ""https://help.1inch.io/en/articles/5099197-which-countries-are-restricted-from-using-the-1inch-dapp"", ""wayback"": ""https://web.archive.org/web/2021/https://help.1inch.io/en/articles/5099197-which-countries-are-restricted-from-using-the-1inch-dapp""}, {""url"": ""https://cryptoslate.com/1inch-geofences-us-ip-addresses-says-new-product-for-the-american-market-is-in-prep/"", ""wayback"": ""https://web.archive.org/web/2021/https://cryptoslate.com/1inch-geofences-us-ip-addresses-says-new-product-for-the-american-market-is-in-prep/""}]","[{""body_hash"": ""sha256:87ad7bd98fcbbe6a4e6be4640ac3cbdf7e8577970bac02469ab9d48445ad86c9"", ""body_path"": ""sources/http_captures/1inch-us-geofence-2021-09/primary/web.archive.org__web-20210901000000-https-cryptoslate.com-1inch-geofences-us-ip-addresses-says-new-product-for-the-american-market-is-in-prep__c72e4057ad.html"", ""url"": ""https://cryptoslate.com/1inch-geofences-us-ip-addresses-says-new-product-for-the-american-market-is-in-prep/"", ""wayback"": ""https://web.archive.org/web/20210930195439/https://cryptoslate.com/1inch-geofences-us-ip-addresses-says-new-product-for-the-american-market-is-in-prep/""}, {""body_hash"": ""sha256:4af48ed8d37143a6efaad103fe89456aa9963e4ea1e56c52a3494cfd96f58b58"", ""body_path"": ""sources/http_captures/1inch-us-geofence-2021-09/primary/web.archive.org__web-20211001000000-https-www.theblock.co-linked-119055-dex-aggregator-1inch-blocks-out-us-trades-in-preparation-for-separate-american-platform__a0864347cd.html"", ""url"": ""https://www.theblock.co/linked/119055/dex-aggregator-1inch-blocks-out-us-trades-in-preparation-for-separate-american-platform"", ""wayback"": ""https://web.archive.org/web/20211001000000/https://www.theblock.co/linked/119055/dex-aggregator-1inch-blocks-out-us-trades-in-preparation-for-separate-american-platform""}]",unadjudicated_risk_flag
1mdc-egold-account-freeze-2007-04,admitted,events/1mdc-egold-account-freeze-2007-04.yaml,0,offramp_cex,observed_change,court_order_froze_and_liquidated_1mdc_backing_egold_accounts_ending_service,"[{""matching_fields"": [""url"", ""body_hash""], ""observation_source_index"": 0, ""trigger_source_index"": 1}, {""matching_fields"": [""url"", ""body_hash""], ""observation_source_index"": 1, ""trigger_source_index"": 0}]","[{""body_hash"": ""sha256:61540013bbabcf9330f52f862e9b625f96a821af3ffd882c40631ee17815dd50"", ""body_path"": ""sources/http_captures/1mdc-egold-account-freeze-2007-04/primary/web.archive.org__web-20210401004405-https-www.justice.gov-archive-criminal-cybercrime-press-releases-2007-egoldIndict.htm__9c96372596.html"", ""url"": ""https://www.justice.gov/archive/criminal/cybercrime/press-releases/2007/egoldIndict.htm"", ""wayback"": ""https://web.archive.org/web/20210401004405/https://www.justice.gov/archive/criminal/cybercrime/press-releases/2007/egoldIndict.htm""}, {""body_hash"": ""sha256:688c3732c0bfff067b7f2cfd6ae537748d47fa42a4880c6d9bd31e9847cf7fca"", ""body_path"": ""sources/http_captures/1mdc-egold-account-freeze-2007-04/primary/web.archive.org__web-20251129000000-https-en.wikipedia.org-wiki-1mdc__7048e5fe3c.html"", ""url"": ""https://en.wikipedia.org/wiki/1mdc"", ""wayback"": ""https://web.archive.org/web/20251129151946/https://en.wikipedia.org/wiki/1mdc""}]","[{""body_hash"": ""sha256:688c3732c0bfff067b7f2cfd6ae537748d47fa42a4880c6d9bd31e9847cf7fca"", ""body_path"": ""sources/http_captures/1mdc-egold-account-freeze-2007-04/primary/web.archive.org__web-20251129000000-https-en.wikipedia.org-wiki-1mdc__7048e5fe3c.html"", ""url"": ""https://en.wikipedia.org/wiki/1mdc"", ""wayback"": ""https://web.archive.org/web/20251129151946/https://en.wikipedia.org/wiki/1mdc""}, {""body_hash"": ""sha256:61540013bbabcf9330f52f862e9b625f96a821af3ffd882c40631ee17815dd50"", ""body_path"": ""sources/http_captures/1mdc-egold-account-freeze-2007-04/primary/web.archive.org__web-20210401004405-https-www.justice.gov-archive-criminal-cybercrime-press-releases-2007-egoldIndict.htm__9c96372596.html"", ""url"": ""https://www.justice.gov/archive/criminal/cybercrime/press-releases/2007/egoldIndict.htm"", ""wayback"": ""https://web.archive.org/web/20210401004405/https://www.justice.gov/archive/criminal/cybercrime/press-releases/2007/egoldIndict.htm""}]",unadjudicated_risk_flag
aave-arc-fireblocks-whitelist-2022-01,admitted,events/aave-arc-fireblocks-whitelist-2022-01.yaml,0,l4_frontend,observed_change,aave_arc_frontend_surface_reflects_protocol_whitelist_inclusion_class,"[{""matching_fields"": [""url""], ""observation_source_index"": 0, ""trigger_source_index"": 0}]","[{""url"": ""https://www.fireblocks.com/press/fireblocks-whitelists-30-licensed-financial-institutions-to-participate-in-permissioned-defi-with-the-launch-of-aave-arc"", ""wayback"": ""https://web.archive.org/web/2022/https://www.fireblocks.com/press/fireblocks-whitelists-30-licensed-financial-institutions-to-participate-in-permissioned-defi-with-the-launch-of-aave-arc""}, {""url"": ""https://www.coindesk.com/business/2022/01/05/fireblocks-whitelists-30-trading-firms-for-aaves-institutional-defi-debut"", ""wayback"": ""https://web.archive.org/web/2022/https://www.coindesk.com/business/2022/01/05/fireblocks-whitelists-30-trading-firms-for-aaves-institutional-defi-debut""}, {""url"": ""https://cointelegraph.com/news/aave-launches-its-permissioned-pool-aave-arc-with-30-institutions-set-to-join"", ""wayback"": ""https://web.archive.org/web/2022/https://cointelegraph.com/news/aave-launches-its-permissioned-pool-aave-arc-with-30-institutions-set-to-join""}]","[{""body_hash"": ""sha256:7f7255026aa31498113ef97e30d9c1155b6e167e19513c7d471f6fd9cbc72672"", ""body_path"": ""sources/http_captures/aave-arc-fireblocks-whitelist-2022-01/primary/web.archive.org__web-20220110000000-https-www.fireblocks.com-press-fireblocks-whitelists-30-licensed-financial-institutions-to-participate-in-permissioned-defi-with-the__30e6368e01.html"", ""url"": ""https://www.fireblocks.com/press/fireblocks-whitelists-30-licensed-financial-institutions-to-participate-in-permissioned-defi-with-the-launch-of-aave-arc"", ""wayback"": ""https://web.archive.org/web/20240613130657/https://www.fireblocks.com/press/fireblocks-whitelists-30-licensed-financial-institutions-to-participate-in-permissioned-defi-with-the-launch-of-aave-arc/""}]",unadjudicated_risk_flag
aave-tornado-frontend-block-2022-08,admitted,events/aave-tornado-frontend-block-2022-08.yaml,0,l4_frontend,observed_change,aave_frontend_integrated_trm_labs_api_blocking_tornado_tainted_wallets,"[{""matching_fields"": [""url""], ""observation_source_index"": 0, ""trigger_source_index"": 2}, {""matching_fields"": [""url""], ""observation_source_index"": 1, ""trigger_source_index"": 1}]","[{""url"": ""https://twitter.com/AaveAave/status/1558414985380536321"", ""wayback"": ""https://web.archive.org/web/2022/https://twitter.com/AaveAave/status/1558414985380536321""}, {""url"": ""https://blockworks.co/news/defi-web-apps-block-users-hit-by-tornado-cash-dust-attack"", ""wayback"": ""https://web.archive.org/web/2022/https://blockworks.co/news/defi-web-apps-block-users-hit-by-tornado-cash-dust-attack""}, {""url"": ""https://cryptoslate.com/aave-confirms-trm-labs-api-blocked-dusted-ethereum-wallets-access-restored/"", ""wayback"": ""https://web.archive.org/web/2022/https://cryptoslate.com/aave-confirms-trm-labs-api-blocked-dusted-ethereum-wallets-access-restored/""}, {""url"": ""https://decrypt.co/107890/meet-the-sleuthing-firm-helping-defi-projects-stay-compliant-with-tornado-cash-sanctions"", ""wayback"": ""https://web.archive.org/web/2022/https://decrypt.co/107890/meet-the-sleuthing-firm-helping-defi-projects-stay-compliant-with-tornado-cash-sanctions""}]","[{""body_hash"": ""sha256:e88c85a98c8a2ac17f71f50577b21f6d792dcdb21c8fcf41a91c92566cfd3c69"", ""body_path"": ""sources/http_captures/aave-tornado-frontend-block-2022-08/primary/web.archive.org__web-20220815000000-https-cryptoslate.com-aave-confirms-trm-labs-api-blocked-dusted-ethereum-wallets-access-restored__8ef9258569.html"", ""url"": ""https://cryptoslate.com/aave-confirms-trm-labs-api-blocked-dusted-ethereum-wallets-access-restored/"", ""wayback"": ""https://web.archive.org/web/20220814221048/https://cryptoslate.com/aave-confirms-trm-labs-api-blocked-dusted-ethereum-wallets-access-restored/""}, {""body_hash"": ""sha256:0f471941c9c5143b13e359562ec7e079a06b2291236c22c5776b9f3cbee52baa"", ""body_path"": ""sources/http_captures/aave-tornado-frontend-block-2022-08/primary/web.archive.org__web-20220815000000-https-blockworks.co-news-defi-web-apps-block-users-hit-by-tornado-cash-dust-attack__e4493a1e17.html"", ""url"": ""https://blockworks.co/news/defi-web-apps-block-users-hit-by-tornado-cash-dust-attack"", ""wayback"": ""https://web.archive.org/web/20221121141935/https://blockworks.co/news/defi-web-apps-block-users-hit-by-tornado-cash-dust-attack""}]",unadjudicated_risk_flag
algeria-finance-law-2018-crypto-prohibition,admitted,events/algeria-finance-law-2018-crypto-prohibition.yaml,0,offramp_cex,observed_change,virtual_currency_purchase_sale_use_possession_prohibited_by_statute,"[{""matching_fields"": [""url"", ""body_hash""], ""observation_source_index"": 0, ""trigger_source_index"": 0}]","[{""body_hash"": ""sha256:0e73a9f71de0d7514761b7667ac22d9ceeafb13b408fd4e98ec8072eb4bdb2a7"", ""body_path"": ""sources/http_captures/algeria-finance-law-2018-crypto-prohibition/primary/web.archive.org__web-20190312173325id_-https-www.joradp.dz-FTP-jo-francais-2017-F2017076.pdf__6c420ff786.bin"", ""url"": ""https://www.joradp.dz/FTP/jo-francais/2017/F2017076.pdf"", ""wayback"": ""https://web.archive.org/web/20190312173325id_/https://www.joradp.dz/FTP/jo-francais/2017/F2017076.pdf""}]","[{""body_hash"": ""sha256:0e73a9f71de0d7514761b7667ac22d9ceeafb13b408fd4e98ec8072eb4bdb2a7"", ""body_path"": ""sources/http_captures/algeria-finance-law-2018-crypto-prohibition/primary/web.archive.org__web-20190312173325id_-https-www.joradp.dz-FTP-jo-francais-2017-F2017076.pdf__6c420ff786.bin"", ""url"": ""https://www.joradp.dz/FTP/jo-francais/2017/F2017076.pdf"", ""wayback"": ""https://web.archive.org/web/20190312173325id_/https://www.joradp.dz/FTP/jo-francais/2017/F2017076.pdf""}]",unadjudicated_risk_flag
alphabay-hansa-doj-2017,admitted,events/alphabay-hansa-doj-2017.yaml,0,l4_frontend,observed_change,darknet_marketplaces_seized_and_shut_down,"[{""matching_fields"": [""url"", ""body_hash""], ""observation_source_index"": 0, ""trigger_source_index"": 0}, {""matching_fields"": [""url"", ""body_hash""], ""observation_source_index"": 1, ""trigger_source_index"": 1}]","[{""body_hash"": ""sha256:4f90921a411efba76eb17c1320af8c9ee1950288c76b7583a6b1c8ac329d7638"", ""body_path"": ""sources/http_captures/alphabay-hansa-doj-2017/primary/www.justice.gov__opa-pr-alphabay-largest-online-dark-market-shut-down__afe1f984e7.html"", ""url"": ""https://www.justice.gov/opa/pr/alphabay-largest-online-dark-market-shut-down""}, {""body_hash"": ""sha256:89078288ae4abe8f80852eb1fe2d3bb15d6781611a51fcf396fdb7f205281970"", ""body_path"": ""sources/http_captures/alphabay-hansa-doj-2017/primary/www.fbi.gov__news-stories-alphabay-takedown__675e2f71fc.html"", ""url"": ""https://www.fbi.gov/news/stories/alphabay-takedown""}]","[{""body_hash"": ""sha256:4f90921a411efba76eb17c1320af8c9ee1950288c76b7583a6b1c8ac329d7638"", ""body_path"": ""sources/http_captures/alphabay-hansa-doj-2017/primary/www.justice.gov__opa-pr-alphabay-largest-online-dark-market-shut-down__afe1f984e7.html"", ""url"": ""https://www.justice.gov/opa/pr/alphabay-largest-online-dark-market-shut-down""}, {""body_hash"": ""sha256:89078288ae4abe8f80852eb1fe2d3bb15d6781611a51fcf396fdb7f205281970"", ""body_path"": ""sources/http_captures/alphabay-hansa-doj-2017/primary/www.fbi.gov__news-stories-alphabay-takedown__675e2f71fc.html"", ""url"": ""https://www.fbi.gov/news/stories/alphabay-takedown""}]",unadjudicated_risk_flag
apple-india-crypto-exchange-removal-2024-01,admitted,events/apple-india-crypto-exchange-removal-2024-01.yaml,0,l4_frontend,observed_change,offshore_vda_exchange_apps_removed_from_apple_app_store_in_regional_storefront,"[{""matching_fields"": [""url""], ""observation_source_index"": 0, ""trigger_source_index"": 0}, {""matching_fields"": [""url""], ""observation_source_index"": 1, ""trigger_source_index"": 1}]","[{""url"": ""https://techcrunch.com/2024/01/09/apple-crypto-apps-binance-india/"", ""wayback"": ""https://web.archive.org/web/2024/https://techcrunch.com/2024/01/09/apple-crypto-apps-binance-india/""}, {""url"": ""https://www.coindesk.com/policy/2024/01/10/binance-kucoin-other-exchanges-served-notice-by-indian-government-removed-from-apples-app-store"", ""wayback"": ""https://web.archive.org/web/2024/https://www.coindesk.com/policy/2024/01/10/binance-kucoin-other-exchanges-served-notice-by-indian-government-removed-from-apples-app-store""}, {""url"": ""https://cointelegraph.com/news/apple-india-binance-kraken-crypto-exchanges-delist-fiu-notice"", ""wayback"": ""https://web.archive.org/web/2024/https://cointelegraph.com/news/apple-india-binance-kraken-crypto-exchanges-delist-fiu-notice""}]","[{""body_hash"": ""sha256:7591234aa85b03f5be1fb5dc4f0628874f9817430e21e6404a052aab7d25210f"", ""body_path"": ""sources/http_captures/apple-india-crypto-exchange-removal-2024-01/primary/web.archive.org__web-20240110000000-https-techcrunch.com-2024-01-09-apple-crypto-apps-binance-india__ba5097b1f3.html"", ""url"": ""https://techcrunch.com/2024/01/09/apple-crypto-apps-binance-india/"", ""wayback"": ""https://web.archive.org/web/20240110032452/https://techcrunch.com/2024/01/09/apple-crypto-apps-binance-india/""}, {""body_hash"": ""sha256:136d065ee7b942d7be875ce6bbb904ddb214acc49ac804fca7a66ced6f0dbb0a"", ""body_path"": ""sources/http_captures/apple-india-crypto-exchange-removal-2024-01/primary/web.archive.org__web-20240111000000-https-www.coindesk.com-policy-2024-01-10-binance-kucoin-other-exchanges-served-notice-by-indian-government-removed-from-apples-app-s__dafb2ced4f.html"", ""url"": ""https://www.coindesk.com/policy/2024/01/10/binance-kucoin-other-exchanges-served-notice-by-indian-government-removed-from-apples-app-store"", ""wayback"": ""https://web.archive.org/web/20240110205329/https://www.coindesk.com/policy/2024/01/10/binance-kucoin-other-exchanges-served-notice-by-indian-government-removed-from-apples-app-store/""}]",unadjudicated_risk_flag
apple-uniswap-wallet-app-store-rejection-2023-03,admitted,events/apple-uniswap-wallet-app-store-rejection-2023-03.yaml,0,l4_frontend,observed_change,apple_refuses_uniswap_wallet_app_store_approval,"[{""matching_fields"": [""url"", ""body_hash""], ""observation_source_index"": 0, ""trigger_source_index"": 0}, {""matching_fields"": [""url"", ""body_hash""], ""observation_source_index"": 1, ""trigger_source_index"": 1}]","[{""body_hash"": ""sha256:9c5bfeac32305cb73c8dcfbc16665fb3af9201acc48f95982ed71ffd7603987f"", ""body_path"": ""sources/http_captures/apple-uniswap-wallet-app-store-rejection-2023-03/official-uniswap-blog/blog.uniswap.org__uniswap-mobile-wallet-early-access__fd779939e8.html"", ""url"": ""https://blog.uniswap.org/uniswap-mobile-wallet-early-access""}, {""body_hash"": ""sha256:119e6bd8b94763bcbb78109a4183b6ec062937a941d588595ee43ec0ec9c3837"", ""body_path"": ""sources/http_captures/apple-uniswap-wallet-app-store-rejection-2023-03/primary/web.archive.org__web-20250428020543-https-fortune.com-crypto-2023-03-03-uniswap-wallet-apple-app-store__0546440ba0.html"", ""url"": ""https://fortune.com/crypto/2023/03/03/uniswap-wallet-apple-app-store/"", ""wayback"": ""https://web.archive.org/web/20250428020543/https://fortune.com/crypto/2023/03/03/uniswap-wallet-apple-app-store/""}]","[{""body_hash"": ""sha256:9c5bfeac32305cb73c8dcfbc16665fb3af9201acc48f95982ed71ffd7603987f"", ""body_path"": ""sources/http_captures/apple-uniswap-wallet-app-store-rejection-2023-03/official-uniswap-blog/blog.uniswap.org__uniswap-mobile-wallet-early-access__fd779939e8.html"", ""url"": ""https://blog.uniswap.org/uniswap-mobile-wallet-early-access""}, {""body_hash"": ""sha256:119e6bd8b94763bcbb78109a4183b6ec062937a941d588595ee43ec0ec9c3837"", ""body_path"": ""sources/http_captures/apple-uniswap-wallet-app-store-rejection-2023-03/primary/web.archive.org__web-20250428020543-https-fortune.com-crypto-2023-03-03-uniswap-wallet-apple-app-store__0546440ba0.html"", ""url"": ""https://fortune.com/crypto/2023/03/03/uniswap-wallet-apple-app-store/"", ""wayback"": ""https://web.archive.org/web/20250428020543/https://fortune.com/crypto/2023/03/03/uniswap-wallet-apple-app-store/""}, {""body_hash"": ""sha256:e771da735d7327df1f6dd67f5a8a8bb59c6175f8af2b865dcf737ab234727eaf"", ""body_path"": ""sources/http_captures/apple-uniswap-wallet-app-store-rejection-2023-03/primary/web.archive.org__web-20240907112054-https-www.coindesk.com-business-2023-03-03-uniswap-wants-to-launch-crypto-wallet-app-but-apple-says-not-so-fast__8ac039667b.html"", ""url"": ""https://www.coindesk.com/business/2023/03/03/uniswap-wants-to-launch-crypto-wallet-app-but-apple-says-not-so-fast"", ""wayback"": ""https://web.archive.org/web/20240907112054/https://www.coindesk.com/business/2023/03/03/uniswap-wants-to-launch-crypto-wallet-app-but-apple-says-not-so-fast/""}]",unadjudicated_risk_flag
argentina-bcra-banks-crypto-services-ban-2022-05,admitted,events/argentina-bcra-banks-crypto-services-ban-2022-05.yaml,0,offramp_cex,observed_change,bank_crypto_services_prohibited_class_wide_de_facto_ban,"[{""matching_fields"": [""url"", ""body_hash""], ""observation_source_index"": 0, ""trigger_source_index"": 0}, {""matching_fields"": [""url"", ""body_hash""], ""observation_source_index"": 1, ""trigger_source_index"": 1}]","[{""body_hash"": ""sha256:09fe0a3415d8e8c574e42aafb454d69758b236187548649d457c9d6d0552bbbe"", ""body_path"": ""sources/http_captures/argentina-bcra-banks-crypto-services-ban-2022-05/primary/www.bcra.gob.ar__Pdfs-comytexord-A7506.pdf__6a3303756d.bin"", ""url"": ""https://www.bcra.gob.ar/Pdfs/comytexord/A7506.pdf"", ""wayback"": ""https://web.archive.org/web/20260531041114/https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A7506.pdf""}, {""body_hash"": ""sha256:4ff33339e508064b7a6a279bc3219e43b8f1585904fcf15d425910526b6e0db9"", ""body_path"": ""sources/http_captures/argentina-bcra-banks-crypto-services-ban-2022-05/primary/web.archive.org__web-20220510051130-https-www.coindesk.com-policy-2022-05-05-argentinas-central-bank-bans-lenders-from-offering-crypto-services__700217215a.html"", ""url"": ""https://web.archive.org/web/20220510051130/https://www.coindesk.com/policy/2022/05/05/argentinas-central-bank-bans-lenders-from-offering-crypto-services/"", ""wayback"": ""https://web.archive.org/web/20220510051130/https://www.coindesk.com/policy/2022/05/05/argentinas-central-bank-bans-lenders-from-offering-crypto-services/""}]","[{""body_hash"": ""sha256:09fe0a3415d8e8c574e42aafb454d69758b236187548649d457c9d6d0552bbbe"", ""body_path"": ""sources/http_captures/argentina-bcra-banks-crypto-services-ban-2022-05/primary/www.bcra.gob.ar__Pdfs-comytexord-A7506.pdf__6a3303756d.bin"", ""url"": ""https://www.bcra.gob.ar/Pdfs/comytexord/A7506.pdf"", ""wayback"": ""https://web.archive.org/web/20260531041114/https://www.bcra.gob.ar/archivos/Pdfs/comytexord/A7506.pdf""}, {""body_hash"": ""sha256:4ff33339e508064b7a6a279bc3219e43b8f1585904fcf15d425910526b6e0db9"", ""body_path"": ""sources/http_captures/argentina-bcra-banks-crypto-services-ban-2022-05/primary/web.archive.org__web-20220510051130-https-www.coindesk.com-policy-2022-05-05-argentinas-central-bank-bans-lenders-from-offering-crypto-services__700217215a.html"", ""url"": ""https://web.archive.org/web/20220510051130/https://www.coindesk.com/policy/2022/05/05/argentinas-central-bank-bans-lenders-from-offering-crypto-services/"", ""wayback"": ""https://web.archive.org/web/20220510051130/https://www.coindesk.com/policy/2022/05/05/argentinas-central-bank-bans-lenders-from-offering-crypto-services/""}]",unadjudicated_risk_flag
augur-v2-us-uk-geofence-2020-07,admitted,events/augur-v2-us-uk-geofence-2020-07.yaml,0,l4_frontend,observed_change,augur_v2_us_uk_geofence_primary_confirmation_gap,"[{""matching_fields"": [""url"", ""body_hash""], ""observation_source_index"": 0, ""trigger_source_index"": 0}]","[{""body_hash"": ""sha256:d4c71248c4e940cf061df9fd99c5da07577c1fe66a69ab9381ac946b0459bc18"", ""body_path"": ""sources/http_captures/augur-v2-us-uk-geofence-2020-07/v0_3_primary_repair/web.archive.org__web-20200801000000-https-www.augur.net-disclaimer__113e5a0d64.html"", ""url"": ""https://augur.net/disclaimer/"", ""wayback"": ""https://web.archive.org/web/20200806153113/https://augur.net/disclaimer/""}, {""url"": ""https://www.coindesk.com/tech/2020/07/28/5-years-after-launch-predictions-market-platform-augur-releases-version-2"", ""wayback"": ""https://web.archive.org/web/2020/https://www.coindesk.com/tech/2020/07/28/5-years-after-launch-predictions-market-platform-augur-releases-version-2""}]","[{""body_hash"": ""sha256:d4c71248c4e940cf061df9fd99c5da07577c1fe66a69ab9381ac946b0459bc18"", ""body_path"": ""sources/http_captures/augur-v2-us-uk-geofence-2020-07/v0_3_primary_repair/web.archive.org__web-20200801000000-https-www.augur.net-disclaimer__113e5a0d64.html"", ""url"": ""https://augur.net/disclaimer/"", ""wayback"": ""https://web.archive.org/web/20200806153113/https://augur.net/disclaimer/""}, {""url"": ""https://en.wikipedia.org/wiki/Augur_(software)"", ""wayback"": ""https://web.archive.org/web/2020/https://en.wikipedia.org/wiki/Augur_(software)""}]",unadjudicated_risk_flag
