row_id,recode_value,recoder_comment
0,observed_change,USSS seizure banner Wayback with body_hash; primary_legal anchor; substantive domain seizure.
1,observed_change,Primary onchain tx hash for Tether USDT blacklist plus community anchor; freeze action documented.
2,observed_change,Primary onchain TRX tx hash plus primary corporate anchor with body_hash; same-day batch USDT freeze.
3,observed_change,Primary onchain Circle USDC blacklist tx plus community anchor; substantive freeze next day.
4,observed_no_change,Two semi-primary relay measurements with query_hash and scope_descriptor; relay share stable through designation.
5,observed_change,Three semi-primary relay sources with query_hash and scope_descriptor; censoring share rose 10.80% to 41.10%.
6,observed_change,Flashbots primary_corporate commit and PR plus GitHub API anchors; OFAC blacklist updated 2h50m post-SDN.
7,observed_change,Primary onchain Circle USDC blacklist tx plus Circle blog and community anchor; substantive freeze.
8,observed_change,Two semi-primary Wayback captures of GitHub repos with body_hash; UI unavailability documented post-event.
9,observed_change,Two primary_corporate dYdX blog posts with body_hash; accounts flagged and close-only mode.
10,observed_change,Primary onchain tx for Circle USDC blacklist plus primary corporate anchor; all 8 addresses frozen within 24h.
11,observed_change,Primary onchain Tether USDT addBlackList tx plus primary corporate anchor; retroactive batch freeze documented.
12,observed_no_change,Two semi-primary relay sources with query_hash scope_descriptor and window; share stable through designation.
13,observed_change,Primary_legal CBRT Wayback regulation with body_hash; TRY payment rail to crypto severed by regulation.
14,observed_change,Semi-primary Wayback capture with body_hash plus primary_legal Treasury press release; nginx default page documented.
15,observed_change,Primary_legal DOJ press release with body_hash anchoring BKA Tor infrastructure seizure on event day.
16,observed_change,Primary onchain Tether addBlackList tx plus multiple primary_corporate anchors; batch retroactive freeze.
17,observed_change,Primary_legal RBI circular PDF with body_hash mandating banking cut-off; direct severance instrument.
18,observed_change,Primary_legal FSC press release with body_hash and scope_descriptor; Travel Rule effective across all KR VASPs.
19,observed_no_change,Primary_legal OFAC page with scope_descriptor; documents absence of public CEX statement in 14-day window.
20,observed_no_change,Primary_legal OFAC page with scope_descriptor and window; absence of public CEX statement documented.
21,observed_no_change,Primary_legal OFAC page with scope_descriptor and window; absence of public CEX cascade documented.
22,observed_change,Primary_corporate Uniswap blog with body_hash plus semi-primary token-lists repo; 100+ tokens restricted from UI.
23,observed_change,Primary onchain TRON addBlackList tx plus two primary_corporate anchors; batch freeze pre-OFAC designation.
24,observed_change,Primary_legal CBN circular Wayback with body_hash; Naira banking channel severed industry-wide.
