canonical_action_id,row_count,duplicate_row_count,event_count,event_ids,layers,canonical_event_id,canonical_layer,canonical_actor,canonical_event,canonical_timestamp
aeza-group-ofac-2025:0:asset_onchain:tether_usdt_issuer:tether_usdt_tron_blacklist_30h_after_ofac,1,0,1,aeza-group-ofac-2025,asset_onchain,aeza-group-ofac-2025,asset_onchain,tether_usdt_issuer,tether_usdt_tron_blacklist_30h_after_ofac,2025-07-02 06:25:00+00:00
alphabay-hansa-doj-2017:0:l4_frontend:frontend:alphabay_hansa_markets:darknet_marketplaces_seized_and_shut_down,1,0,1,alphabay-hansa-doj-2017,l4_frontend,alphabay-hansa-doj-2017,l4_frontend,frontend:alphabay_hansa_markets,darknet_marketplaces_seized_and_shut_down,2017-07-20 00:00:00+00:00
belgium-fsma-binance-cease-2023:0:offramp_cex:cex:binance_belgium_cohort:binance_belgium_services_ordered_to_cease_and_assets_repatriated,1,0,1,belgium-fsma-binance-cease-2023,offramp_cex,belgium-fsma-binance-cease-2023,offramp_cex,cex:binance_belgium_cohort,binance_belgium_services_ordered_to_cease_and_assets_repatriated,2023-06-23 00:00:00+00:00
belgium-fsma-binance-cease-2023:1:l4_frontend:frontend:binance_com_be_geo:be_geo_specific_restriction_notices_posted,1,0,1,belgium-fsma-binance-cease-2023,l4_frontend,belgium-fsma-binance-cease-2023,l4_frontend,frontend:binance_com_be_geo,be_geo_specific_restriction_notices_posted,2023-06-24 00:00:00+00:00
binance-4framework-2023:1:offramp_cex:exchange:binance:compliance_remediation_program_mandated,1,0,1,binance-4framework-2023,offramp_cex,binance-4framework-2023,offramp_cex,exchange:binance,compliance_remediation_program_mandated,2023-11-21 00:00:00+00:00
binance-russia-exit-commex-2023:0:l4_frontend:frontend:binance_com:binance_russia_exit_announcement_and_commex_migration_notices,1,0,1,binance-russia-exit-commex-2023,l4_frontend,binance-russia-exit-commex-2023,l4_frontend,frontend:binance_com,binance_russia_exit_announcement_and_commex_migration_notices,2023-09-27 00:00:00+00:00
binance-russia-exit-commex-2023:1:offramp_cex:exchange:binance_russia:binance_rub_rails_wound_down_and_migrated_to_commex,1,0,1,binance-russia-exit-commex-2023,offramp_cex,binance-russia-exit-commex-2023,offramp_cex,exchange:binance_russia,binance_rub_rails_wound_down_and_migrated_to_commex,2023-09-27 00:00:00+00:00
bitfinex-cftc-retail-commodity-2016:0:offramp_cex:exchange:bitfinex:cftc_ordered_bitfinex_margin_trading_product_change_to_actual_delivery_model,1,0,1,bitfinex-cftc-retail-commodity-2016,offramp_cex,bitfinex-cftc-retail-commodity-2016,offramp_cex,exchange:bitfinex,cftc_ordered_bitfinex_margin_trading_product_change_to_actual_delivery_model,2016-06-02 00:00:00+00:00
bitmex-cftc-doj-2020:0:l4_frontend:frontend:bitmex_com:bitmex_us_retail_geoblock_and_kyc_mandate_announcement,1,0,1,bitmex-cftc-doj-2020,l4_frontend,bitmex-cftc-doj-2020,l4_frontend,frontend:bitmex_com,bitmex_us_retail_geoblock_and_kyc_mandate_announcement,2020-10-01 00:00:00+00:00
bitmex-cftc-doj-2020:1:offramp_cex:exchange:bitmex:bitmex_us_retail_rails_restricted_and_global_kyc_enforced,1,0,1,bitmex-cftc-doj-2020,offramp_cex,bitmex-cftc-doj-2020,offramp_cex,exchange:bitmex,bitmex_us_retail_rails_restricted_and_global_kyc_enforced,2020-10-01 00:00:00+00:00
bitzlato-doj-2023:0:offramp_cex:exchange:bitzlato:exchange_operations_disrupted_by_enforcement,1,0,1,bitzlato-doj-2023,offramp_cex,bitzlato-doj-2023,offramp_cex,exchange:bitzlato,exchange_operations_disrupted_by_enforcement,2023-01-18 00:00:00+00:00
blender-ofac-2022:0:l4_frontend:frontend:blender_io:canonical_frontend_stripped_to_default_nginx_by_operators,1,0,1,blender-ofac-2022,l4_frontend,blender-ofac-2022,l4_frontend,frontend:blender_io,canonical_frontend_stripped_to_default_nginx_by_operators,2022-05-16 11:37:13+00:00
blockfi-sec-lending-2022:0:offramp_cex:lending_platform:blockfi_interest_accounts:unregistered_interest_account_offers_and_sales_ceased,1,0,1,blockfi-sec-lending-2022,offramp_cex,blockfi-sec-lending-2022,offramp_cex,lending_platform:blockfi_interest_accounts,unregistered_interest_account_offers_and_sales_ceased,2022-02-14 00:00:00+00:00
btc-e-doj-2017:0:l4_frontend:frontend:btc_e_com:canonical_domain_seized_by_DOJ_IRSCI,1,0,1,btc-e-doj-2017,l4_frontend,btc-e-doj-2017,l4_frontend,frontend:btc_e_com,canonical_domain_seized_by_DOJ_IRSCI,2017-07-26 00:00:00+00:00
canada-convoy-freeze-2022:0:offramp_cex:ca_regulated_cex_ecosystem:canadian_regulated_exchanges_frozen_convoy_addresses,1,0,1,canada-convoy-freeze-2022,offramp_cex,canada-convoy-freeze-2022,offramp_cex,ca_regulated_cex_ecosystem,canadian_regulated_exchanges_frozen_convoy_addresses,2022-02-15 00:00:00+00:00
canada-csa-binance-withdrawal-2023:0:l4_frontend:frontend:binance_com_en_ca_geo:binance_canada_market_exit_announcement,1,0,1,canada-csa-binance-withdrawal-2023,l4_frontend,canada-csa-binance-withdrawal-2023,l4_frontend,frontend:binance_com_en_ca_geo,binance_canada_market_exit_announcement,2023-05-12 00:00:00+00:00
canada-csa-binance-withdrawal-2023:1:offramp_cex:exchange:binance_canada:binance_canada_offramp_shutdown,1,0,1,canada-csa-binance-withdrawal-2023,offramp_cex,canada-csa-binance-withdrawal-2023,offramp_cex,exchange:binance_canada,binance_canada_offramp_shutdown,2023-05-12 00:00:00+00:00
cftc-v-ooki-dao-2022:0:l4_frontend:frontend:ooki_dao:cftc_enforced_frontend_geo_blocking_us_via_default_judgment,1,0,1,cftc-v-ooki-dao-2022,l4_frontend,cftc-v-ooki-dao-2022,l4_frontend,frontend:ooki_dao,cftc_enforced_frontend_geo_blocking_us_via_default_judgment,2023-06-08 00:00:00+00:00
chatex-ofac-2021:0:asset_onchain:circle_usdc_issuer:usdc_blacklist_next_day_5_of_6_eth_addresses,1,0,1,chatex-ofac-2021,asset_onchain,chatex-ofac-2021,asset_onchain,circle_usdc_issuer,usdc_blacklist_next_day_5_of_6_eth_addresses,2021-11-09 04:15:00+00:00
chatex-ofac-2021:1:l4_frontend:frontend:chatex_com:operator_compliance_notice_and_withdrawal_freeze,1,0,1,chatex-ofac-2021,l4_frontend,chatex-ofac-2021,l4_frontend,frontend:chatex_com,operator_compliance_notice_and_withdrawal_freeze,2021-11-17 17:59:45+00:00
china-pboc-crypto-ban-2013-12:0:offramp_cex:prc_bitcoin_exchange_ecosystem:cny_deposit_channels_paused_industry_wide,1,0,1,china-pboc-crypto-ban-2013-12,offramp_cex,china-pboc-crypto-ban-2013-12,offramp_cex,prc_bitcoin_exchange_ecosystem,cny_deposit_channels_paused_industry_wide,2013-12-18 00:00:00+00:00
china-pboc-crypto-ban-2021:0:offramp_cex:exchange:huobi:mainland_china_user_accounts_retired,1,0,1,china-pboc-crypto-ban-2021,offramp_cex,china-pboc-crypto-ban-2021,offramp_cex,exchange:huobi,mainland_china_user_accounts_retired,2021-09-26 00:00:00+00:00
china-pboc-crypto-ban-2021:1:offramp_cex:exchange:binance:china_pboc_update_announcement,1,0,1,china-pboc-crypto-ban-2021,offramp_cex,china-pboc-crypto-ban-2021,offramp_cex,exchange:binance,china_pboc_update_announcement,2021-09-25 00:00:00+00:00
