queue_id,item_type,item_id,status,priority,reason,created_at,updated_at,resolved_at
10,event,australia-asic-binance-derivatives-2023,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
12,event,belgium-fsma-binance-cease-2023,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
15,event,binance-cftc-2023,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
16,event,binance-privacy-coin-delisting-2023,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
17,event,binance-russia-exit-commex-2023,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
18,event,binance-us-staking-end-2023,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
20,event,bitfinex-cftc-retail-commodity-2016,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
21,event,bitfinex-tether-cftc-2021,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
23,event,bitmex-cftc-doj-2020,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
35,event,canada-csa-binance-withdrawal-2023,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
36,event,celsius-bankruptcy-mashinsky-doj-2023,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
43,event,china-pboc-crypto-ban-2013-12,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
58,event,coinflip-cftc-derivabit-2015,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
77,event,eu-russia-crypto-wallet-cap-2022,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
78,event,eu-russia-full-crypto-wallet-ban-2022,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
79,event,eu-tfr-recast-2023,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
81,event,fatf-r15-vasp-travel-rule-2019,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
89,event,ftx-bankman-fried-doj-2022,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
94,event,genesis-sec-gemini-earn-2023,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
95,event,germany-bafin-binance-licence-withdrawal-2023,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
98,event,helix-doj-mixer-2020,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
107,event,india-fiu-offshore-vda-block-2023,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
111,event,infura-alchemy-tornado-rpc-block-2022,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
115,event,iran-ransomware-ofac-2018,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
120,event,japan-fsa-coincheck-orders-2018,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
131,event,korea-fsc-ico-ban-2017,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
136,event,kraken-sec-unregistered-exchange-2023,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
139,event,kucoin-doj-2024,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
147,event,malaysia-sc-binance-disable-2021,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
158,event,netherlands-dnb-binance-warning-2021,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
163,event,oecd-carf-2022,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
173,event,okx-privacy-token-delist-2024,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
197,event,sec-burnside-bitcoin-stock-exchange-2014,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
199,event,sec-shavers-btcst-2013,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
205,event,sec-v-ripple-2020,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
206,event,sec-v-telegram-ton-2020,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
208,event,sec-voorhees-satoshidice-2014,needs_recheck,70,Legacy YAML row requires v0.3 primary-source re-extraction before primary_source_verified can be true.,2026-05-17T05:45:36Z,2026-05-17T07:32:50Z,2026-05-17T07:32:50Z
