row_id,recode_value,recoder_comment
0,direct,Seizure banner names DOJ/USSS warrant explicitly — primary legal notice on the seized page itself.
1,plausible,Same-day Tether freeze tied to OFAC only via standing-policy inference; no explicit issuer statement in sources.
2,plausible,Same-day USDT-TRC20 freeze; on-chain tx and tracker only; no issuer statement naming OFAC/Cryptex.
3,plausible,Next-day Circle freeze; on-chain tx + tracker only; no Circle statement naming OFAC/Cryptex attached.
4,plausible,Note explicitly downgrades to plausible: relay operators do not name Tornado as filter-adoption reason.
5,direct,PR #90 commit subject literally says "update ofac black list"; added exactly SDN-listed addresses.
6,direct,Circle blog post explicitly titled "OFAC's Designation of Tornado Cash" provides named-link.
7,plausible,UI/GitHub availability change within event window; no explicit operator statement naming OFAC trigger.
8,direct,dYdX blog post "tornado-outage" explicitly ties account blocks to Tornado Cash sanctions exposure.
9,plausible,Circle 24h batch freeze of SDN addresses; no Circle blog or statement naming Semenov attached.
10,plausible,Tether sweep 108 days later framed as retroactive cleanup batch, not as explicit Semenov response.
11,direct,CBRT regulation text itself prohibits Turkish payment institutions from crypto facilitation.
12,plausible,Note explicitly: OFAC did not mandate teardown; operator-voluntary response to sanctions exposure.
13,direct,DOJ press release explicitly names the Hydra seizure operation and dates.
14,direct,Trigger is Tether action itself; smart-contract addToBlackList() call carries the freeze.
15,direct,RBI circular text is the legal instrument explicitly mandating banking cut-off with timing.
16,direct,FSC press release itself mandates Travel Rule application to all KR VASPs effective date.
17,direct,Uniswap Labs blog directly announced frontend token-list restriction for compliance reasons.
18,direct,Trigger is Tether action; addBlackList tx is the direct freeze action carrying the change.
19,direct,CBN circular text explicitly mandates banking cut-off for crypto-related accounts.
