queue_id,event_id,bucket,audit_stage,human_audit_status,trigger_citation_count,trigger_replayable_anchor_count,primary_observation_source_count,primary_replayable_observation_source_count,trigger_url_hosts,packet_path,reviewer,reviewed_at,trigger_unit_confirmed,replayable_trigger_anchor_confirmed,observations_confirmed,scoped_claim_confirmed,decision,decision_reason
10,australia-asic-binance-derivatives-2023,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,2,2,asic.gov.au,analysis/review_queue/packets/0010-australia-asic-binance-derivatives-2023.md,,,,,,,,
12,belgium-fsma-binance-cease-2023,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,2,2,www.fsma.be,analysis/review_queue/packets/0012-belgium-fsma-binance-cease-2023.md,,,,,,,,
15,binance-cftc-2023,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,1,1,www.cftc.gov,analysis/review_queue/packets/0015-binance-cftc-2023.md,,,,,,,,
16,binance-privacy-coin-delisting-2023,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,1,1,www.binance.com,analysis/review_queue/packets/0016-binance-privacy-coin-delisting-2023.md,,,,,,,,
17,binance-russia-exit-commex-2023,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,4,4,commex.com;www.binance.com;www.prnewswire.com,analysis/review_queue/packets/0017-binance-russia-exit-commex-2023.md,,,,,,,,
18,binance-us-staking-end-2023,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,1,1,1,1,blog.binance.us,analysis/review_queue/packets/0018-binance-us-staking-end-2023.md,,,,,,,,
20,bitfinex-cftc-retail-commodity-2016,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,2,2,www.cftc.gov,analysis/review_queue/packets/0020-bitfinex-cftc-retail-commodity-2016.md,,,,,,,,
21,bitfinex-tether-cftc-2021,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,3,3,tether.to;www.cftc.gov,analysis/review_queue/packets/0021-bitfinex-tether-cftc-2021.md,,,,,,,,
23,bitmex-cftc-doj-2020,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,3,4,4,blog.bitmex.com;www.cftc.gov;www.justice.gov,analysis/review_queue/packets/0023-bitmex-cftc-doj-2020.md,,,,,,,,
35,canada-csa-binance-withdrawal-2023,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,4,4,www.binance.com;www.securities-administrators.ca,analysis/review_queue/packets/0035-canada-csa-binance-withdrawal-2023.md,,,,,,,,
36,celsius-bankruptcy-mashinsky-doj-2023,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,5,5,4,4,cases.stretto.com;www.cftc.gov;www.ftc.gov;www.justice.gov;www.sec.gov,analysis/review_queue/packets/0036-celsius-bankruptcy-mashinsky-doj-2023.md,,,,,,,,
43,china-pboc-crypto-ban-2013-12,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,3,2,1,1,www.gov.cn;www.loc.gov;www.pbc.gov.cn,analysis/review_queue/packets/0043-china-pboc-crypto-ban-2013-12.md,,,,,,,,
58,coinflip-cftc-derivabit-2015,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,2,2,www.cftc.gov,analysis/review_queue/packets/0058-coinflip-cftc-derivabit-2015.md,,,,,,,,
77,eu-russia-crypto-wallet-cap-2022,legacy_admitted_primary_source_recheck,llm_prescreen_repaired_awaiting_human_audit,awaiting_human_audit,2,2,2,2,eur-lex.europa.eu;www.consilium.europa.eu,analysis/review_queue/packets/0077-eu-russia-crypto-wallet-cap-2022.md,,,,,,,,
