row_id,recode_value,recoder_comment
0,observed_change,"USSS domain seizure with primary_legal banner and body_hash anchor; substantive frontend state change."
1,observed_change,"Primary_onchain tx hash for Tether USDT blacklist of Cryptex ETH address; substantive asset-layer freeze."
2,observed_change,"Primary_onchain tx hash for Tether USDT-TRC20 blacklist on TRON; substantive batch freeze."
3,observed_change,"Primary_onchain tx hash for Circle USDC blacklist next day; substantive freeze action."
4,observed_no_change,"Relay-share stable across pre/event/post windows; scope_descriptor and query_hash anchor null."
5,observed_change,"Wahrstätter CSV with query_hash shows censoring-relay share rising 10.80%-41.10%; substantive shift."
6,observed_change,"Flashbots commit/PR adding Tornado addresses to ofacblacklist.go with body_hash anchors; substantive RPC change."
7,observed_change,"Primary_onchain Circle USDC blacklist tx with Etherscan hash; substantive asset freeze."
8,observed_change,"GitHub org repository availability change for Tornado Cash with body_hash anchors; substantive frontend change."
9,observed_change,"dYdX primary_corporate blog posts naming Tornado, body_hash anchors; account close-only mode is substantive."
10,observed_change,"Primary_onchain Circle USDC blacklist tx within 24h; substantive batch freeze of 8 addresses."
11,observed_change,"Primary_onchain Tether USDT retroactive sweep tx with hash; substantive freeze of Semenov addresses."
12,observed_no_change,"Relay-share pre/event/post within 1.5sd; scope_descriptor and query_hash anchor null observation."
13,observed_change,"CBRT regulation primary_legal with body_hash; severs TRY payment rails to crypto; substantive offramp change."
14,observed_change,"Wayback snapshot shows blender.io reduced to default nginx page with body_hash; substantive operator teardown."
15,observed_change,"DOJ press release primary_legal with body_hash documenting Tor infrastructure seizure by BKA; substantive."
16,observed_change,"Primary_onchain Tether batch freeze tx with hash, multiple address anchors; substantive corporate sweep."
17,observed_change,"RBI Circular primary_legal with body_hash mandates banking severance; substantive offramp change."
18,observed_change,"FSC Travel Rule primary_legal with body_hash and scope_descriptor; mandates VASP behavior change."
19,observed_no_change,"Scope_descriptor 14-day window cohort with no documented CEX action; attribution=none; null observation."
20,observed_no_change,"Scope_descriptor 14-day window for Matveev individual cohort; no public CEX disclosure; null."
21,observed_no_change,"Scope_descriptor 14-day window for Lazarus 20-BTC cohort; absence of public CEX statements; null."
22,observed_change,"Uniswap Labs primary_corporate blog and token-lists github with body_hash; 100+ token frontend restriction."
23,observed_change,"Primary_onchain Tether batch freeze tx with hash on TRON; substantive pre-OFAC asset freeze."
24,observed_change,"CBN circular primary_legal with body_hash mandates banking severance; substantive offramp change."
