row_id,recode_value,recoder_comment
0,observed_change,USSS seizure banner via primary_legal Wayback with body_hash; substantive frontend state change
1,observed_change,Tether USDT freeze tx with tx_hash and community body_hash anchor; substantive freeze
2,observed_change,Tether TRC20 freeze tx with tx_hash and corporate body_hash anchor; substantive freeze
3,observed_change,Circle USDC freeze tx with tx_hash and community body_hash anchor; substantive freeze
4,observed_no_change,Relay-share stable pre/event/post; semi_primary with query_hash and scope_descriptor anchors
5,observed_change,Censoring relay share rises 10.80% to 41.10% post-Merge; query_hash and scope_descriptor anchored
6,observed_change,Flashbots commit adds Tornado addresses to OFAC blacklist; primary_corporate with body_hash
7,observed_change,USDC blacklist tx with tx_hash plus Circle corporate body_hash; substantive freeze
8,observed_change,GitHub Tornado org/repo unavailability; two semi_primary measurements with body_hash anchors
9,observed_change,dYdX close-only mode; two primary_corporate posts with body_hash anchors; substantive cascade
10,observed_change,Circle 8-address batch blacklist tx with tx_hash and corporate body_hash; substantive freeze
11,observed_change,Tether retroactive sweep tx with tx_hash and corporate body_hash anchor
12,observed_no_change,Relay-share stable through Semenov designation; semi_primary with query_hash and scope_descriptor
13,observed_change,CBRT regulation severs TRY payment rail to crypto; primary_legal Wayback with body_hash
14,observed_change,Blender.io stripped to default nginx; semi_primary_wayback body_hash plus primary_legal anchor
15,observed_change,Tor infrastructure seized by BKA; DOJ primary_legal with body_hash anchor; substantive change
16,observed_change,Tether retroactive batch freeze tx_hash plus multiple corporate body_hash anchors
17,observed_change,RBI circular severs INR banking rails for crypto exchanges; primary_legal with body_hash
18,observed_change,FSC Travel Rule effective; primary_legal with body_hash and scope_descriptor anchor
19,observed_no_change,Scoped 14d window absence of public CEX cascade; scope_descriptor and body_hash anchored
20,observed_no_change,Scoped 14d window absence of public CEX cascade; scope_descriptor and body_hash anchored
21,observed_no_change,Scoped 14d window absence of public CEX cascade; scope_descriptor and body_hash anchored
22,observed_change,Uniswap Labs restricts 100+ tokens from app frontend; primary_corporate plus semi_primary body_hash
23,observed_change,Tether DPRK batch freeze tx_hash plus corporate body_hash anchor; substantive precommit freeze
24,observed_change,CBN circular severs Naira banking rails; primary_legal Wayback with body_hash anchor
