row_id,event_id,layer,observation_note,recode_value,recoder_comment
0,garantex-besciokov-mira-serda-doj-2025,l4_frontend,,,
1,garantex-besciokov-mira-serda-doj-2025,offramp_cex,,,
2,dydx-tornado-account-block-2022-08,l4_frontend,,,
3,dydx-tornado-account-block-2022-08,offramp_cex,,,
4,tornado-cash-ofac-2022,l1_consensus,,,
5,tornado-cash-ofac-2022,l3_rpc,Flashbots' rpc-endpoint service (the backend that later became Flashbots Protect) carried an in-process OFAC blacklist at server/ofacblacklist.go. 2h 50m after the 13:30 UTC OFAC S,,
6,tornado-cash-ofac-2022,asset_onchain,,,
7,tornado-cash-ofac-2022,l4_frontend,,,
8,tornado-cash-ofac-2022,offramp_cex,,,
9,cryptex-ofac-2024,l4_frontend,,,
10,cryptex-ofac-2024,asset_onchain,,,
11,cryptex-ofac-2024,asset_onchain,,,
12,cryptex-ofac-2024,asset_onchain,,,
13,samourai-doj-2024,l4_frontend,,,
14,argentina-bcra-banks-crypto-services-ban-2022-05,offramp_cex,,,
15,ofac-hamas-buy-cash-msb-2023-10,offramp_cex,,,
16,sec-kik-interactive-kin-unregistered-offering-2020-10,offramp_cex,,,
17,hydra-ofac-2022,l4_frontend,,,
18,canada-convoy-freeze-2022,offramp_cex,,,
19,aeza-group-ofac-2025,asset_onchain,,,
20,taiwan-fsc-bitcoin-bank-atm-ban-2014-01,offramp_cex,,,
21,sec-abra-plutus-earn-cease-2024-08,offramp_cex,,,
22,nepal-nrb-bitcoin-ban-2017-08,offramp_cex,,,
23,nepal-nrb-comprehensive-crypto-ban-2021-09,offramp_cex,,,
24,sec-v-coinbase-2023,offramp_cex,Coinbase's own blog and Q2 2023 Form 10-Q record a state-scoped staking service restriction following the 2023-06-06 federal SEC lawsuit and same-day state securities proceedings. ,,
25,okx-privacy-token-delist-2024,offramp_cex,,,
26,etherscan-tornado-cash-ui-label-2022,l4_frontend,,,
27,australia-asic-binance-derivatives-2023,offramp_cex,,,
28,bybit-canada-exit-2023-05,offramp_cex,,,
29,hongkong-sfc-vatp-licensing-2023-06,offramp_cex,,,
30,hongkong-sfc-vatp-licensing-2023-06,offramp_cex,"Across the 2023-06-01 to 2024-05-31 transitional window, major offshore platforms (Binance, OKX, Bybit, HTX/Huobi, Gate.io, KuCoin) either never applied for an SFC VATP licence or ",,
31,wikileaks-everydns-domain-termination-2010-12,l4_frontend,,,
32,singapore-mas-retail-crypto-restriction-2022,l4_frontend,,,
33,singapore-mas-retail-crypto-restriction-2022,offramp_cex,,,
34,tradehill-dwolla-payment-cutoff-2012-02,offramp_cex,,,
35,gemini-netherlands-exit-2023-11,offramp_cex,,,
36,eu-8th-package-russia-crypto-services-ban-2022-10,offramp_cex,,,
37,bybit-singapore-exit-2022,offramp_cex,,,
38,dydx-canada-frontend-wind-down-2023-04,l4_frontend,,,
39,sec-v-telegram-ton-2020,offramp_cex,,,
40,tether-pig-butchering-second-wave-2024,offramp_cex,,,
41,tether-retroactive-sweep-2023,asset_onchain,,,
42,tether-doj-pig-butchering-freeze-2023,asset_onchain,,,
43,tether-doj-pig-butchering-freeze-2023,offramp_cex,,,
44,belgium-fsma-binance-cease-2023,offramp_cex,,,
45,israel-nbctf-hamas-crypto-addresses-2021,offramp_cex,,,
46,russian-cyber-theft-ofac-2020,asset_onchain,,,
47,blockfi-sec-lending-2022,offramp_cex,,,
48,coinbase-irs-john-doe-summons-2016,offramp_cex,,,
49,sec-consensys-metamask-staking-swaps-2024-06,l4_frontend,,,
50,google-play-india-crypto-exchange-removal-2024-01,l4_frontend,,,
51,bcbs-cryptoasset-prudential-standard-sco60-2022,offramp_cex,,,
52,pump-fun-uk-fca-geofence-2024-12,l4_frontend,,,
53,egypt-cbe-banking-law-194-2020,offramp_cex,,,
54,upbit-privacy-coin-delisting-2019-09,offramp_cex,,,
55,eu-12th-russia-sanctions-2023,offramp_cex,,,
56,eu-russia-crypto-wallet-cap-2022,offramp_cex,,,
57,etoro-us-ada-trx-delisting-2021-12,offramp_cex,,,
58,chatex-ofac-2021,asset_onchain,,,
59,chatex-ofac-2021,l4_frontend,,,
60,morocco-office-des-changes-crypto-ban-2017-11,offramp_cex,,,
61,sec-nexo-earn-lending-product-cease-2023-01,offramp_cex,,,
62,fincen-eric-powers-p2p-exchanger-2019-04,offramp_cex,,,
63,paxos-busd-nydfs-minting-stop-2023,l4_frontend,,,
64,thailand-sec-meme-fan-nft-exchange-token-ban-2021-06,offramp_cex,,,
65,russia-election-interference-ofac-2020,asset_onchain,,,
66,grinex-garantex-successor-ofac-2025,asset_onchain,,,
67,indonesia-kominfo-exchange-social-account-block-2024-07,l4_frontend,,,
68,liberty-reserve-costa-rica-license-denial-2011-03,offramp_cex,,,
69,singapore-mas-binance-services-2021,l4_frontend,,,
70,singapore-mas-binance-services-2021,offramp_cex,,,
71,tornado-cash-ofac-redesignation-2022,asset_onchain,,,
72,ripple-fincen-xrp-2015,offramp_cex,,,
73,pecunix-bullion-transfer-2008,offramp_cex,,,
74,kazakhstan-digital-assets-law-2023-02,l1_consensus,,,
75,kazakhstan-digital-assets-law-2023-02,offramp_cex,,,
76,blender-ofac-2022,l4_frontend,,,
77,binance-russia-gunmaker-asset-freeze-ukraine-2022-08,offramp_cex,,,
78,canada-csa-binance-withdrawal-2023,offramp_cex,,,
79,eu-18th-russia-sanctions-casp-spfs-2025,offramp_cex,,,
80,china-pboc-crypto-ban-2021,offramp_cex,,,
81,china-pboc-crypto-ban-2021,offramp_cex,,,
82,sec-v-ripple-2020,offramp_cex,,,
83,sec-v-ripple-2020,offramp_cex,,,
84,india-fiu-offshore-vda-block-2023,l0_network,,,
85,kraken-uk-derivatives-exit-2021,offramp_cex,,,
86,bitfinex-cftc-retail-commodity-2016,offramp_cex,,,
87,poloniex-circle-us-token-geofence-2019-05,offramp_cex,,,
88,circle-usdc-cryptex-freeze-2024,asset_onchain,,,
89,sinbad-doj-2024,l4_frontend,,,
90,sinbad-doj-2024,offramp_cex,,,
91,chipmixer-doj-2023,l4_frontend,,,
92,sec-lbry-lbc-unregistered-securities-2021-03,offramp_cex,,,
93,germany-bafin-binance-licence-withdrawal-2023,offramp_cex,,,
94,okx-aux-cayes-doj-guilty-plea-2025,offramp_cex,,,
95,opensea-iran-cuba-sanctions-block-2022,l4_frontend,,,
96,opensea-iran-cuba-sanctions-block-2022,l4_frontend,,,
97,kucoin-doj-2024,l4_frontend,,,
98,kucoin-doj-2024,offramp_cex,,,
99,china-search-engine-social-keyword-exchange-block-2021-06,l4_frontend,,,
100,japan-fsa-six-exchange-orders-2018-06,offramp_cex,,,
101,japan-fsa-six-exchange-orders-2018-06,offramp_cex,bitFlyer's same-day voluntary response to the FSA order — pausing new-customer registrations pending re-verification of existing customers' KYC data. attribution=direct because bit,,
102,china-ndrc-mining-eliminated-industry-notice-2021-09,offramp_cex,,,
103,binance-uk-new-user-halt-2023-10,offramp_cex,,,
104,dprk-usdt-network-ofac-2025,asset_onchain,,,
105,voyager-bankruptcy-doj-objection-2023,offramp_cex,"The repaired observation is the court-stayed sale/distribution route itself, not a direct causal claim that DOJ caused the later Binance.US termination. S.D.N.Y. Document 53 grante",,
106,tornado-cash-github-takedown-2022-08,l4_frontend,,,
107,tether-garantex-usdt-freeze-2025-03,offramp_cex,,,
108,egold-doj-indictment-2007-04,offramp_cex,,,
109,bitfinex-tether-nyag-2021,offramp_cex,,,
110,bitfinex-tether-nyag-2021,offramp_cex,,,
111,uk-fca-binance-markets-2021,offramp_cex,,,
112,uk-fca-binance-markets-2021,l4_frontend,,,
113,datacell-v-valitor-iceland-district-court-2012-07,offramp_cex,,,
114,okx-india-exit-2024-03,offramp_cex,,,
115,thailand-sec-crypto-payment-ban-2022-04,offramp_cex,,,
116,philippines-sec-binance-block-2024,l0_network,,,
117,philippines-sec-binance-block-2024,offramp_cex,,,
118,semenov-ofac-2023,asset_onchain,,,
119,semenov-ofac-2023,asset_onchain,,,
120,binance-busd-wind-down-2024,offramp_cex,,,
121,nydfs-bitlicense-2015-06,l4_frontend,,,
122,nydfs-bitlicense-2015-06,l4_frontend,,,
123,nydfs-bitlicense-2015-06,l4_frontend,,,
124,aave-arc-fireblocks-whitelist-2022-01,l4_frontend,,,
125,binance-eea-usdt-spot-delisting-2025-03,offramp_cex,,,
126,thailand-sec-binance-bybit-c-and-d-2021,offramp_cex,,,
127,cftc-defi-opyn-zeroex-deridex-2023-09,l4_frontend,,,
128,wikileaks-postfinance-account-closure-2010-12,offramp_cex,,,
129,qatar-qcb-qfcra-virtual-asset-ban-2019-12,offramp_cex,,,
130,indonesia-bappebti-illegal-exchange-block-2023,l4_frontend,,,
131,indonesia-bappebti-illegal-exchange-block-2023,offramp_cex,,,
132,eu-16th-russia-sanctions-2025,offramp_cex,,,
133,thailand-bot-bitcoin-prohibition-2013,offramp_cex,,,
134,pakistan-sbp-crypto-prohibition-2018-04,offramp_cex,,,
135,binance-monero-global-delisting-2024-02,offramp_cex,,,
136,sec-burnside-bitcoin-stock-exchange-2014,l4_frontend,,,
137,sec-burnside-bitcoin-stock-exchange-2014,offramp_cex,,,
138,coinbase-eu-usdt-stablecoin-delisting-2024-12,offramp_cex,,,
139,genesis-sec-gemini-earn-2023,offramp_cex,,,
140,genesis-sec-gemini-earn-2023,offramp_cex,,,
141,crypto-com-eu-usdt-stablecoin-delisting-2025-01,offramp_cex,,,
142,huobi-htx-privacy-coin-delisting-2024,offramp_cex,,,
143,coin-mx-doj-murgio-2015,offramp_cex,,,
144,russia-mining-regional-ban-2024-12,l1_consensus,,,
145,korea-travel-rule-2022,offramp_cex,,,
146,iran-cbi-crypto-banking-prohibition-2018,offramp_cex,,,
147,binance-cftc-2023,offramp_cex,,,
148,wikileaks-amazon-aws-eviction-2010-12,l4_frontend,,,
149,binance-russia-exit-commex-2023,offramp_cex,,,
150,sec-poloniex-unregistered-exchange-2021-08,offramp_cex,,,
151,eu-mica-2023,offramp_cex,,,
152,binance-dex-29-country-geoblock-2019-07,l4_frontend,,,
153,algeria-finance-law-2018-crypto-prohibition,offramp_cex,,,
154,sec-etherdelta-coburn-unregistered-exchange-2018-11,l4_frontend,,,
155,blockfi-multistate-cease-desist-bia-2021-07,offramp_cex,,,
156,silk-road-doj-seizure-2013,l4_frontend,,,
